NAME,PARTY,STATE_NAME,LonX,LatY,icpsr
Carolyn B. Maloney,Democrat,New York,-73.951,40.749,29379
Adriano Espaillat,Democrat,New York,-73.928,40.839,21715
Alexandria Ocasio-Cortez,Democrat,New York,-73.856,40.804,21949
Ritchie Torres,Democrat,New York,-73.893,40.828,22154
Jamaal Bowman,Democrat,New York,-73.814,40.945,22105
Mondaire Jones,Democrat,New York,-73.911,41.159,22127
Sean Patrick Maloney,Democrat,New York,-74.08,41.411,21344
Patrick Ryan,Democrat,New York,-74.421,42.215,22169
Paul Tonko,Democrat,New York,-73.992,42.748,20934
Elise M. Stefanik,Republican,New York,-74.529,44.019,21541
Claudia Tenney,Republican,New York,-75.657,42.873,21749
Joseph Sempolinski,Republican,New York,-77.751,42.331,22170
John Katko,Republican,New York,-76.535,43.062,21542
Joseph D. Morelle,Democrat,New York,-77.682,43.161,21761
Brian Higgins,Democrat,New York,-78.835,42.959,20519
Chris Jacobs,Republican,New York,-78.222,42.892,21990
Steve Chabot,Republican,Ohio,-84.345,39.337,29550
Brad R. Wenstrup,Republican,Ohio,-83.566,39.02,21351
Joyce Beatty,Democrat,Ohio,-82.949,39.966,21352
Jim Jordan,Republican,Ohio,-83.476,40.716,20738
Robert E. Latta,Republican,Ohio,-84.042,41.155,20755
Bill Johnson,Republican,Ohio,-81.554,39.774,21162
Bob Gibbs,Republican,Ohio,-82.059,40.707,21165
Warren Davidson,Republican,Ohio,-84.416,39.904,21564
Marcy Kaptur,Democrat,Ohio,-82.779,41.511,15029
