icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
22101,Cliff Bentz,Republican,Oregon,-119.552,43.86
29588,Earl Blumenauer,Democrat,Oregon,-122.199,45.389
15410,Peter A. DeFazio,Democrat,Oregon,-123.214,43.498
20944,Kurt Schrader,Democrat,Oregon,-123.117,45.016
21718,Brian Fitzpatrick,Republican,Pennsylvania,-75.115,40.333
21548,Brendan Boyle,Democrat,Pennsylvania,-75.06,40.048
21566,Dwight Evans,Democrat,Pennsylvania,-75.198,40.005
21915,Madeleine Dean,Democrat,Pennsylvania,-75.398,40.222
21762,Mary Gay Scanlon,Democrat,Pennsylvania,-75.379,39.922
21934,Chrissy Houlahan,Democrat,Pennsylvania,-75.777,40.024
21763,Susan Wild,Democrat,Pennsylvania,-75.418,40.728
21358,Matt Cartwright,Democrat,Pennsylvania,-75.406,41.37
21945,Dan Meuser,Republican,Pennsylvania,-76.172,40.771
21356,Scott Perry,Republican,Pennsylvania,-76.858,40.263
21745,Lloyd Smucker,Republican,Pennsylvania,-76.394,39.968
21985,Fred Keller,Republican,Pennsylvania,-77.045,41.349
21936,John Joyce,Republican,Pennsylvania,-78.259,40.104
21956,Guy Reschenthaler,Republican,Pennsylvania,-79.935,40.08
20946,Glenn Thompson,Republican,Pennsylvania,-78.91,41.204
21167,Mike Kelly,Republican,Pennsylvania,-80.128,41.496
21756,Conor Lamb,Democrat,Pennsylvania,-80.191,40.61
29561,Michael F. Doyle,Democrat,Pennsylvania,-79.903,40.371
21172,David N. Cicilline,Democrat,Rhode Island,-71.361,41.762
20136,James R. Langevin,Democrat,Rhode Island,-71.624,41.65
22132,Nancy Mace,Republican,South Carolina,-80.158,32.794
20138,Joe Wilson,Republican,South Carolina,-81.375,33.638
21174,Jeff Duncan,Republican,South Carolina,-82.339,34.356
21974,William R. Timmons IV,Republican,South Carolina,-82.172,34.941
21753,Ralph Norman,Republican,South Carolina,-81.02,34.539
39301,James E. Clyburn,Democrat,South Carolina,-80.525,33.226
21359,Tom Rice,Republican,South Carolina,-79.535,34.127
